name,Result
Office 16 Click-to-Run Extensibility Component,Office 365 -- INSTALLED
Nuance Citrix Client Audio Extension,Nuance Dragon Medical One Audio Extensions -- INSTALLED
MacroPath PRO,MacroPath PRO -- INSTALLED
SQL Server 2016 Management Studio for Reporting Services,Microsoft SQL server 2016  -- INSTALLED
Microsoft Visual Studio 2015 Shell (Minimum) Resources,Microsoft 2015 Shell -- INCLUDED
VPSX Printer Driver Management Advanced (x64),VPSX Printer Driver -- INSTALLED
LynxClient,Lynx Client -- INSTALLED
InScribe,Inscribe -- INSTALLED
Hyland Unity Client,Hyland OnBase -- INSTALLED
Synapse Cardiovascular Client,Synapse Cardiovascular Client -- INSTALLED
Microsoft Office Professional Plus 2016,Microsoft Office Proffessional 2016 -- INSTALLED
Teams Machine-Wide Installer,Microsoft Teams -- INSTALLED
Kofax Power PDF Advanced,Kofax Pwer PDF -- INSTALLED
Snagit 2021,TechSmith Snagit 2021 -- INSTALLED
Cisco AnyConnect Diagnostics and Reporting Tool,Cisco AnyConnect -- INSTALLED
Cisco Jabber,Cisco Jabber -- INSTALLED
NICE Engage Platform Release 6.10 - Player Codec Pack,NICE Engage -- INSTALLED
Netsmart Homecare Client,NetSmart Homecare -- INSTALLED
PaperStream IP (TWAIN),PaperStream IP (TWAIN) -- INSTALLED
Dynamsoft Service,Dynamsoft Service -- INSTALLED
ADM 3.51 Service Pack,Allscripts Document Manager - ADM (scan) -- INSTALLED
PaperStream Capture,PaperStream Capture -- INSTALLED
NICE Real-Time Client R6.7.0,Nice RTI -- INSTALLED
Dragon Medical One,Nuance Dragon Medical One -- INSTALLED
Tableau Reader 2021.4 (20214.22.0213.1102),Tableau Reader -- INSTALLED
Microsoft Visio MUI (English) 2016,Microsoft Visio 2016 -- INSTALLED
Webex,Cisco Webex Meetings -- INSTALLED
Nuance PowerScribe 360 | Reporting - Integration Component (x64),Nuance PowerScrbe 360 -- INSTALLED BUT MAKE SURE EXTRA WAS DONE
GEAR driver installer 4.021.1,GEAR driver -- INSTALLED
arcc Local Service,Arcc Local Service -- INSTALLED
OnGuard 7.6,Lenel OnGuard -- INSTALLED
